Team,MP,W,D,L,GF,GA,Pts,xG,xGA,xGD,xG_vs_Actual
Club Atlético de Madrid,38,26,8,4,67,25,86,1.85,1.22,0.63,-0.12
Real Madrid CF,38,25,9,4,67,28,84,1.78,1.15,0.63,-0.26
FC Barcelona,38,24,7,7,85,38,79,1.98,1.17,0.81,0.26
Sevilla FC,38,24,5,9,53,33,77,1.53,1.17,0.36,-0.14
Real Sociedad de Fútbol,38,17,11,10,59,38,62,1.48,1.4,0.08,-0.05
Real Betis Balompié,38,17,10,11,50,50,61,1.47,1.28,0.19,-0.15
Villarreal CF,38,15,13,10,60,44,58,1.63,1.42,0.21,-0.03
Real Club Celta de Vigo,38,14,11,13,55,57,53,1.23,1.5,-0.27,0.1
Granada CF,38,13,7,18,47,65,46,1.18,1.5,-0.32,-0.06
Athletic Club Bilbao,38,11,13,14,46,42,46,1.4,1.27,0.13,0.02
Cádiz CF,38,11,11,16,36,58,44,1.08,1.3,-0.22,-0.12
CA Osasuna,38,11,11,16,37,48,44,1.3,1.52,-0.22,-0.13
Valencia CF,38,10,13,15,50,53,43,1.3,1.6,-0.3,-0.2
Levante UD,38,9,14,15,46,57,41,1.36,1.54,-0.18,-0.1
Getafe Club de Fútbol,38,9,11,18,28,43,38,1.28,1.6,-0.32,0.03
Deportivo Alavés,38,9,8,21,36,57,38,1.06,1.51,-0.45,-0.09
Elche CF,38,8,12,18,34,55,36,0.98,1.62,-0.64,-0.09
SD Huesca,38,7,13,18,34,53,34,1.36,1.44,-0.08,-0.1
Real Valladolid Club de Fútbol,38,5,16,17,31,43,31,1.06,1.38,-0.32,-0.06
SD Eibar,38,6,12,20,29,52,30,1.32,1.46,-0.14,-0.08
