Team,MP,W,D,L,GF,GA,Pts,xG,xGA,xGD,xG_vs_Actual
Real Madrid CF,38,26,9,3,70,25,87,1.94,1.21,0.73,-0.1
FC Barcelona,38,25,7,6,86,38,82,1.8,1.26,0.54,-0.46
Club Atlético de Madrid,38,18,16,4,51,27,70,1.52,1.37,0.15,0.01
Sevilla FC,38,19,13,6,54,34,70,1.6,1.28,0.32,0.06
Villarreal CF,38,18,6,14,63,44,60,1.58,1.59,-0.01,0.14
Real Sociedad de Fútbol,38,16,8,14,56,48,56,1.36,1.34,0.03,-0.16
Granada CF,38,16,8,14,52,45,56,1.26,1.51,-0.25,-0.05
Getafe Club de Fútbol,38,14,12,12,43,37,54,1.43,1.4,0.03,0.06
Valencia CF,38,14,11,13,46,53,53,1.2,1.45,-0.25,-0.36
CA Osasuna,38,13,12,13,46,54,52,1.51,1.44,0.07,0.07
Athletic Club Bilbao,38,13,12,13,41,38,51,1.47,1.43,0.04,0.09
Levante UD,38,14,7,17,47,53,49,1.39,1.49,-0.1,-0.08
Real Valladolid Club de Fútbol,38,9,15,14,32,43,42,1.26,1.41,-0.15,-0.06
SD Eibar,38,11,9,18,39,56,42,1.49,1.33,0.16,0.1
Real Betis Balompié,38,10,11,17,48,60,41,1.57,1.53,0.04,-0.04
Deportivo Alavés,38,10,9,19,34,59,39,1.1,1.54,-0.44,-0.2
Real Club Celta de Vigo,38,7,16,15,37,49,37,1.3,1.42,-0.12,-0.01
CD Leganés,38,8,12,18,30,51,36,1.16,1.36,-0.2,-0.22
Real Club Deportivo Mallorca,38,9,6,23,40,65,33,1.39,1.67,-0.28,-0.15
RCD Espanyol,38,5,10,23,31,58,25,1.34,1.53,-0.19,0.03
