Team,MP,W,D,L,GF,GA,Pts,xG,xGA,xGD,xG_vs_Actual
FC Barcelona,38,28,4,6,70,20,88,1.9,1.14,0.76,-0.06
Real Madrid CF,38,24,6,8,75,36,78,2.08,1.35,0.73,-0.11
Club Atlético de Madrid,38,23,8,7,70,33,77,1.75,1.45,0.3,0.09
Real Sociedad de Fútbol,38,21,8,9,51,35,71,1.53,1.4,0.13,-0.17
Villarreal CF,38,19,7,12,59,40,64,1.63,1.59,0.04,0.05
Real Betis Balompié,38,17,9,12,46,41,60,1.57,1.42,0.15,0.06
CA Osasuna,38,15,8,15,37,42,53,1.51,1.44,0.07,-0.05
Athletic Club Bilbao,38,14,9,15,47,43,51,1.64,1.46,0.18,-0.06
Real Club Deportivo Mallorca,38,14,8,16,37,43,50,1.46,1.57,-0.11,-0.04
Sevilla FC,38,13,10,15,47,54,49,1.46,1.44,0.02,-0.2
Rayo Vallecano,38,13,10,15,45,53,49,1.64,1.46,0.18,-0.1
Girona FC,38,13,10,15,58,53,49,1.52,1.5,0.02,-0.08
Real Club Celta de Vigo,38,11,10,17,43,53,43,1.55,1.33,0.22,-0.42
Real Valladolid Club de Fútbol,38,11,10,17,33,63,43,1.23,1.67,-0.44,-0.09
Cádiz CF,38,10,12,16,30,53,42,1.26,1.51,-0.25,-0.04
Getafe Club de Fútbol,38,10,12,16,34,45,42,1.27,1.62,-0.35,0.38
Valencia CF,38,11,9,18,42,45,42,1.6,1.33,0.27,-0.49
UD Almería,38,11,7,20,49,65,40,1.39,1.61,-0.22,-0.11
RCD Espanyol,38,8,13,17,37,67,37,1.38,1.6,-0.22,-0.39
Elche CF,38,5,10,23,30,67,25,1.12,1.55,-0.43,-0.15
