Team,MP,W,D,L,GF,GA,Pts,xG,xGA,xGD,xG_vs_Actual
Real Madrid CF,38,29,6,3,87,26,93,1.8,1.15,0.65,-0.49
FC Barcelona,38,26,7,5,79,45,85,1.73,1.21,0.52,0.35
Girona FC,38,25,6,7,85,46,81,1.5,1.42,0.08,0.74
Club Atlético de Madrid,38,24,4,10,70,43,76,1.75,1.45,0.3,0.09
Athletic Club Bilbao,38,19,11,8,61,37,68,1.64,1.46,0.19,-0.26
Real Sociedad de Fútbol,38,16,12,10,51,39,60,1.5,1.33,0.17,-0.27
Real Betis Balompié,38,14,15,9,45,56,57,1.37,1.37,0.0,-0.15
Villarreal CF,38,14,11,13,65,53,53,1.36,1.39,-0.03,-0.25
Valencia CF,38,13,10,15,45,50,49,1.31,1.49,-0.18,-0.14
Deportivo Alavés,38,12,10,16,36,46,46,1.32,1.35,-0.03,-0.04
CA Osasuna,38,12,12,14,46,56,45,1.3,1.5,-0.2,-0.53
Real Club Deportivo Mallorca,38,10,14,14,33,44,44,1.23,1.53,-0.3,-0.36
Getafe Club de Fútbol,38,10,13,15,42,54,43,1.43,1.37,0.06,-0.06
Real Club Celta de Vigo,38,10,11,17,46,57,41,1.55,1.34,0.22,-0.42
Sevilla FC,38,10,11,17,47,64,41,1.46,1.44,0.02,-0.2
UD Las Palmas,38,10,11,17,33,47,41,1.16,1.31,-0.15,-0.29
Rayo Vallecano,38,8,11,19,38,52,35,1.41,1.38,0.03,-0.16
Cádiz CF,38,6,15,17,26,55,33,1.18,1.54,-0.37,-0.25
UD Almería,38,3,12,23,35,72,21,1.39,1.57,-0.18,-0.3
Granada CF,38,4,9,25,41,81,21,1.17,1.54,-0.37,-0.13
