Team,MP,W,D,L,GF,GA,Pts,xG,xGA,xGD,xG_vs_Actual
FC Barcelona,38,26,9,3,90,36,87,1.83,1.22,0.61,0.54
Club Atlético de Madrid,38,22,10,6,55,29,76,1.75,1.45,0.3,-0.05
Real Madrid CF,38,21,5,12,63,46,68,1.77,1.22,0.55,-0.14
Valencia CF,38,15,16,7,51,35,61,1.44,1.43,0.01,-0.17
Getafe Club de Fútbol,38,15,14,9,48,35,59,1.43,1.3,0.13,0.06
Sevilla FC,38,17,8,13,62,47,59,1.56,1.36,0.2,0.07
RCD Espanyol,38,14,11,13,48,50,53,1.36,1.48,-0.12,-0.13
Athletic Club Bilbao,38,13,14,11,41,45,53,1.29,1.5,-0.21,-0.19
Real Betis Balompié,38,14,8,16,44,52,50,1.4,1.43,-0.03,-0.24
Deportivo Alavés,38,13,11,14,39,50,50,1.23,1.51,-0.28,-0.2
Real Sociedad de Fútbol,38,13,11,14,45,46,50,1.28,1.3,-0.02,-0.13
SD Eibar,38,11,14,13,46,50,47,1.54,1.27,0.27,0.08
CD Leganés,38,11,12,15,37,43,45,1.26,1.4,-0.14,-0.29
Villarreal CF,38,10,14,14,49,52,44,1.58,1.59,-0.01,0.08
Levante UD,38,11,11,16,59,66,44,1.29,1.65,-0.36,-0.3
Real Valladolid Club de Fútbol,38,10,11,17,32,51,42,1.22,1.67,-0.45,-0.1
Real Club Celta de Vigo,38,10,11,17,53,62,41,1.55,1.34,0.22,-0.21
Girona FC,38,9,10,19,37,53,37,1.52,1.5,0.02,-0.09
SD Huesca,38,7,12,19,43,65,33,1.41,1.39,0.02,-0.2
Rayo Vallecano,38,8,8,22,41,70,32,1.41,1.4,0.01,-0.03
