Team,MP,W,D,L,GF,GA,Pts,xG,xGA,xGD,xG_vs_Actual
Real Madrid CF,38,26,8,4,80,31,86,2.21,1.43,0.78,-0.1
FC Barcelona,38,21,10,7,68,38,73,1.86,1.18,0.68,-0.07
Club Atlético de Madrid,38,21,9,8,65,43,71,1.57,1.4,0.17,-0.06
Sevilla FC,38,18,16,4,53,30,70,1.55,1.52,0.03,0.07
Real Betis Balompié,38,19,8,11,62,40,65,1.69,1.5,0.19,-0.53
Real Sociedad de Fútbol,38,17,11,10,40,37,62,1.54,1.34,0.2,-0.17
Villarreal CF,38,16,11,11,63,37,59,1.63,1.44,0.19,0.05
Athletic Club Bilbao,38,14,13,11,43,36,55,1.64,1.46,0.18,-0.06
Valencia CF,38,11,15,12,48,53,48,1.44,1.6,-0.16,-0.49
CA Osasuna,38,12,11,15,37,51,47,1.5,1.5,0.0,-0.03
Real Club Celta de Vigo,38,12,10,16,43,43,46,1.45,1.54,-0.09,-0.42
Rayo Vallecano,38,11,9,18,39,50,42,1.64,1.46,0.18,-0.18
Elche CF,38,11,9,18,40,52,42,1.31,1.44,-0.13,-0.09
RCD Espanyol,38,10,12,16,40,53,42,1.38,1.47,-0.09,-0.13
Getafe Club de Fútbol,38,8,15,15,33,41,39,1.31,1.47,-0.16,-0.16
Real Club Deportivo Mallorca,38,10,9,19,36,63,39,1.46,1.57,-0.11,-0.15
Cádiz CF,38,8,15,15,35,51,39,1.3,1.45,-0.15,-0.14
Granada CF,38,8,14,16,44,61,38,1.4,1.48,-0.08,-0.1
Levante UD,38,8,11,19,38,76,35,1.44,1.69,-0.25,-0.08
Deportivo Alavés,38,8,7,23,31,65,31,1.32,1.54,-0.22,-0.2
